Group num: 0, TC(X;Y_j): 1.498
blue_q30, 0.277
blue_q20, 0.262
blue_q10, 0.239
blue_q5, 0.230
blue_q0, 0.215
blue_q45, 0.190
blue_q15, 0.180
blue_q25, 0.157
blue_q40, 0.151
blue_q35, 0.133
Group num: 1, TC(X;Y_j): 1.376
q28, 0.258
q43, 0.258
q33, 0.236
q38, 0.235
q48, 0.222
q3, 0.219
q13, 0.146
q8, 0.122
q23, 0.121
q18, 0.068
Group num: 2, TC(X;Y_j): 1.226
red_q16, 0.227
red_q41, 0.226
red_q21, 0.208
red_q6, 0.187
red_q31, 0.180
red_q1, 0.169
red_q36, 0.152
red_q26, 0.143
red_q46, 0.137
red_q11, 0.023
Group num: 3, TC(X;Y_j): 1.113
q49, 0.251
q24, 0.210
q9, 0.204
q14, 0.175
q29, 0.168
q4, 0.161
q39, 0.139
q19, 0.135
q34, 0.129
q44, 0.078
Group num: 4, TC(X;Y_j): 0.888
q27, 0.213
q2, 0.180
q22, 0.169
q42, 0.162
q7, 0.141
q17, 0.138
q32, 0.109
q47, 0.095
q12, 0.094
q37, 0.077
