Group num: 0, TC(X;Y_j): 284.094
comp1516_c0_seq6, 3.585
comp10571_c0_seq1, 2.487
comp10552_c1_seq4, 1.411
comp13771_c0_seq1, 1.396
comp44092_c0_seq1, 1.381
comp7056_c2_seq1, 1.338
comp6199_c3_seq1, 1.325
comp429_c49_seq3, 1.196
comp60099_c0_seq1, 1.051
comp8982_c0_seq2, 1.022
comp38595_c0_seq1, 1.016
comp7188_c3_seq4, 0.974
comp53432_c0_seq1, 0.964
comp13577_c0_seq3, 0.962
comp20962_c0_seq1, 0.941
comp13199_c0_seq4, 0.932
comp426228_c0_seq1, 0.915
comp4337_c0_seq2, 0.892
comp13577_c0_seq2, 0.862
comp19291_c1_seq1, 0.858
comp115605_c0_seq2, 0.831
comp29335_c0_seq1, 0.828
comp7056_c2_seq4, 0.820
comp128977_c0_seq1, 0.820
comp367422_c0_seq1, 0.820
comp39788_c0_seq1, 0.818
comp2798_c1_seq7, 0.815
comp96637_c0_seq1, 0.815
comp120144_c0_seq1, 0.808
comp4468_c2_seq7, 0.804
comp4337_c0_seq3, 0.797
comp50636_c0_seq1, 0.759
comp24753_c0_seq2, 0.750
comp20629_c0_seq3, 0.743
comp13577_c0_seq4, 0.739
comp15537_c3_seq1, 0.735
comp137686_c0_seq1, 0.735
comp104943_c0_seq1, 0.732
comp238056_c0_seq1, 0.731
comp45602_c0_seq1, 0.730
comp76948_c0_seq1, 0.724
comp67129_c0_seq1, 0.715
comp283359_c0_seq1, 0.707
comp51200_c0_seq3, 0.703
comp237714_c0_seq1, 0.695
comp6600_c0_seq1, 0.689
comp256630_c1_seq1, 0.685
comp196596_c0_seq1, 0.685
comp110878_c0_seq1, 0.682
comp12_c105_seq2, 0.677
comp147358_c0_seq1, 0.669
comp48649_c0_seq1, 0.658
comp37150_c0_seq1, 0.655
comp57328_c2_seq1, 0.655
comp10552_c1_seq3, 0.652
comp31393_c1_seq1, 0.651
comp147633_c0_seq1, 0.650
comp374007_c0_seq1, 0.649
comp146176_c1_seq1, 0.649
comp111417_c0_seq1, 0.646
comp27436_c0_seq4, 0.643
comp160464_c0_seq1, 0.641
comp200719_c0_seq1, 0.639
comp5752_c5_seq1, 0.638
comp7056_c2_seq3, 0.634
comp35455_c0_seq1, 0.631
comp165852_c0_seq2, 0.621
comp2497_c0_seq1, 0.620
comp147610_c0_seq1, 0.619
comp15223_c0_seq1, 0.611
comp269072_c0_seq1, 0.610
comp536957_c0_seq1, 0.608
comp3948_c1_seq1, 0.605
comp102010_c0_seq1, 0.598
comp99484_c0_seq3, 0.596
comp134230_c0_seq1, 0.595
comp140147_c0_seq1, 0.594
comp283865_c0_seq1, 0.588
comp63208_c0_seq1, 0.587
comp299022_c0_seq1, 0.587
comp157469_c0_seq1, 0.586
comp117722_c0_seq1, 0.586
comp19691_c1_seq1, 0.586
comp8641_c0_seq41, 0.582
comp29712_c0_seq1, 0.582
comp322_c20_seq5, 0.580
comp171442_c0_seq1, 0.578
comp127316_c0_seq1, 0.577
comp28077_c3_seq2, 0.576
comp114306_c0_seq1, 0.573
comp188925_c0_seq1, 0.572
comp154685_c1_seq1, 0.571
comp291560_c0_seq1, 0.571
comp638_c1_seq1, 0.569
comp490539_c0_seq1, 0.569
comp12_c46_seq7, 0.561
comp240066_c0_seq1, 0.556
comp159830_c0_seq1, 0.555
comp152067_c0_seq1, 0.554
comp1225_c1_seq1, 0.553
comp33780_c0_seq3, 0.553
comp38928_c0_seq2, 0.551
comp270385_c0_seq1, 0.550
comp159737_c0_seq1, 0.549
comp136143_c0_seq8, 0.548
comp147506_c0_seq3, 0.547
comp12694_c0_seq1, 0.546
comp132350_c0_seq1, 0.546
comp150160_c0_seq1, 0.545
comp261856_c0_seq1, 0.545
comp391724_c0_seq1, 0.545
comp379592_c0_seq1, 0.544
comp205107_c0_seq1, 0.542
comp17_c10_seq2, 0.535
comp21995_c0_seq1, 0.531
comp11656_c1_seq10, 0.531
comp147778_c1_seq1, 0.528
comp185183_c0_seq1, 0.524
comp35804_c0_seq1, 0.524
comp120210_c0_seq1, 0.522
comp564_c14_seq16, 0.521
comp106012_c0_seq1, 0.520
comp178784_c0_seq1, 0.519
comp363703_c0_seq1, 0.519
comp6919_c0_seq1, 0.519
comp8641_c0_seq43, 0.517
comp143164_c0_seq1, 0.516
comp152339_c0_seq1, 0.515
comp273783_c0_seq2, 0.515
comp144120_c0_seq1, 0.514
comp190530_c0_seq1, 0.511
comp315710_c0_seq1, 0.511
comp162711_c0_seq1, 0.510
comp182274_c0_seq1, 0.510
comp484301_c0_seq1, 0.510
comp4301_c0_seq1, 0.510
comp195362_c0_seq1, 0.509
comp76170_c0_seq1, 0.509
comp3744_c3_seq11, 0.508
comp326243_c0_seq1, 0.508
