Group num., NTC
145, 107.285
0, 5.126
3, 3.710
100, 2.601
18, 2.583
4, 2.544
51, 2.463
22, 2.324
16, 2.051
68, 2.032
38, 1.937
21, 1.895
43, 1.879
37, 1.871
88, 1.845
28, 1.801
123, 1.779
1, 1.689
15, 1.655
35, 1.646
14, 1.586
63, 1.540
31, 1.530
27, 1.487
97, 1.485
50, 1.483
129, 1.472
12, 1.458
49, 1.445
8, 1.409
24, 1.392
93, 1.382
20, 1.376
7, 1.369
48, 1.366
17, 1.360
10, 1.358
59, 1.344
39, 1.336
67, 1.323
53, 1.322
34, 1.321
36, 1.314
83, 1.312
25, 1.310
23, 1.306
54, 1.306
55, 1.302
33, 1.271
107, 1.266
19, 1.253
66, 1.241
87, 1.233
47, 1.231
45, 1.231
32, 1.226
6, 1.211
76, 1.209
56, 1.192
80, 1.191
118, 1.188
85, 1.187
109, 1.166
101, 1.166
104, 1.164
70, 1.157
26, 1.156
72, 1.132
64, 1.124
75, 1.120
106, 1.106
122, 1.082
116, 1.068
115, 1.061
102, 1.045
110, 1.015
117, 0.976
61, 0.975
136, 0.968
121, 0.954
137, 0.941
2, 0.940
65, 0.881
81, 0.878
120, 0.869
127, 0.867
124, 0.856
41, 0.793
131, 0.764
73, 0.749
126, 0.705
5, 0.704
132, 0.694
71, 0.672
114, 0.669
62, 0.667
29, 0.643
84, 0.628
44, 0.579
125, 0.560
60, 0.559
11, 0.508
111, 0.508
52, 0.500
46, 0.437
42, 0.395
9, 0.359
139, 0.309
141, 0.289
13, 0.277
143, 0.275
40, 0.221
30, 0.216
82, 0.189
95, 0.188
144, 0.121
105, 0.117
108, 0.024
133, 0.000
74, 0.000
77, 0.000
90, 0.000
92, 0.000
94, 0.000
96, 0.000
99, 0.000
112, 0.000
119, 0.000
128, 0.000
134, 0.000
135, 0.000
138, 0.000
140, 0.000
142, 0.000
146, -0.000
147, -0.000
148, -0.000
58, -0.552
98, -1.006
86, -1.066
103, -1.573
57, -2.089
113, -8.339
89, -9.194
69, -36.656
79, -122.770
150, -436.631
151, -445.447
152, -456.875
153, -478.247
154, -517.095
155, -521.541
156, -531.987
157, -532.999
158, -536.258
159, -548.113
160, -555.796
161, -557.991
162, -558.211
163, -577.311
164, -578.002
165, -582.757
166, -589.366
167, -596.383
168, -601.221
169, -601.397
170, -607.134
171, -610.932
172, -619.540
173, -620.697
174, -627.501
175, -631.032
130, -632.262
176, -634.071
177, -634.861
178, -637.270
179, -639.724
180, -640.330
181, -640.980
182, -645.737
183, -651.579
184, -653.485
185, -663.833
186, -664.158
187, -668.645
188, -683.155
189, -686.205
190, -687.952
191, -694.918
192, -695.189
193, -697.001
194, -701.386
195, -713.364
196, -718.172
197, -734.356
198, -742.004
78, -1039.744
91, -2485.928
149, -374182.598
199, -510978.845
